date,symbol,price,position,gross_return,cost,net_return,turnover
2021-04-29,GC=F,1768.0999755859375,-0.9914150880721893,0.0028514509834927167,2.3083126892124686e-05,0.002828367856600592,0.11541563446062342
2021-04-30,GC=F,1767.300048828125,-1.0,0.00045242167799219857,1.7169823855621493e-06,0.00045070469560663643,0.008584911927810746
2021-05-03,GC=F,1791.4000244140625,-1.0,-0.013636606642951188,0.0,-0.013636606642951188,0.0
2021-05-04,GC=F,1775.800048828125,-1.0,0.008708259112053973,0.0,0.008708259112053973,0.0
2021-05-05,GC=F,1784.0999755859375,-1.0,-0.004673908395987247,0.0,-0.004673908395987247,0.0
2021-05-06,GC=F,1815.5,-1.0,-0.017599924244015464,0.0,-0.017599924244015464,0.0
2021-05-07,GC=F,1831.0999755859375,-0.933435852715588,-0.008020697611347704,1.3312829456882392e-05,-0.008034010440804587,0.06656414728441196
2021-05-10,GC=F,1837.5,-0.9529114790498863,-0.0033305973522324847,3.895125266859645e-06,-0.0033344924774993444,0.019475626334298224
2021-05-11,GC=F,1835.9000244140625,-0.9903680082358448,0.0008623481002835226,7.491305837191709e-06,0.0008548567944463309,0.03745652918595854
2021-05-12,GC=F,1822.5999755859375,-0.9995908660698645,0.007241465847858511,1.844571566803932e-06,0.007239621276291706,0.00922285783401966
2021-05-13,GC=F,1823.800048828125,-0.9933151738489067,-0.0006540387233416704,1.2551384441915616e-06,-0.000655293861785862,0.006275692220957807
2021-05-14,GC=F,1837.9000244140625,-1.0,-0.007731097274066512,1.3369652302186674e-06,-0.007732434239296731,0.006684826151093337
2021-05-17,GC=F,1867.5,1.0,0.016105324115969877,0.0004,0.015705324115969876,2.0
2021-05-18,GC=F,1867.800048828125,1.0,0.0001606687165327525,0.0,0.0001606687165327525,0.0
2021-05-19,GC=F,1881.300048828125,1.0,0.007227754388629659,0.0,0.007227754388629659,0.0
2021-05-20,GC=F,1881.800048828125,1.0,0.0002657736602469374,0.0,0.0002657736602469374,0.0
2021-05-21,GC=F,1876.699951171875,1.0,-0.00271022293756773,0.0,-0.00271022293756773,0.0
2021-05-24,GC=F,1884.5999755859375,1.0,0.004209529823416602,0.0,0.004209529823416602,0.0
2021-05-25,GC=F,1898.0999755859375,1.0,0.007163323875032379,0.0,0.007163323875032379,0.0
2021-05-26,GC=F,1901.300048828125,1.0,0.0016859350315305832,0.0,0.0016859350315305832,0.0
2021-05-27,GC=F,1895.699951171875,1.0,-0.0029454044666445967,0.0,-0.0029454044666445967,0.0
2021-05-28,GC=F,1902.5,1.0,0.0035870913136444305,0.0,0.0035870913136444305,0.0
2021-06-01,GC=F,1902.9000244140625,1.0,0.00021026250410649538,0.0,0.00021026250410649538,0.0
2021-06-02,GC=F,1907.5,1.0,0.0024173501113669005,0.0,0.0024173501113669005,0.0
2021-06-03,GC=F,1871.199951171875,1.0,-0.019030169765727356,0.0,-0.019030169765727356,0.0
2021-06-04,GC=F,1889.800048828125,0.9870348304204479,0.009811321459495998,2.5930339159104146e-06,0.009808728425580088,0.012965169579552072
2021-06-07,GC=F,1896.800048828125,1.0,0.0037040955757943195,2.5930339159104146e-06,0.003701502541878409,0.012965169579552072
2021-06-08,GC=F,1892.199951171875,1.0,-0.002425188495272401,0.0,-0.002425188495272401,0.0
